Channel,delta_mean,delta_std,delta_variance,delta_zero_crossing_rate,delta_upper_margin,delta_lower_margin,delta_width,delta_asymmetry,delta_cv,delta_total_power,delta_absolute_band_power,delta_mean_band_power,delta_relative_band_power,delta_shannon_entropy,delta_katz_fd,delta_sample_entropy,delta_approximate_entropy,delta_hjorth,theta_mean,theta_std,theta_variance,theta_zero_crossing_rate,theta_upper_margin,theta_lower_margin,theta_width,theta_asymmetry,theta_cv,theta_total_power,theta_absolute_band_power,theta_mean_band_power,theta_relative_band_power,theta_shannon_entropy,theta_katz_fd,theta_sample_entropy,theta_approximate_entropy,theta_hjorth,alpha_mean,alpha_std,alpha_variance,alpha_zero_crossing_rate,alpha_upper_margin,alpha_lower_margin,alpha_width,alpha_asymmetry,alpha_cv,alpha_total_power,alpha_absolute_band_power,alpha_mean_band_power,alpha_relative_band_power,alpha_shannon_entropy,alpha_katz_fd,alpha_sample_entropy,alpha_approximate_entropy,alpha_hjorth,low-beta_mean,low-beta_std,low-beta_variance,low-beta_zero_crossing_rate,low-beta_upper_margin,low-beta_lower_margin,low-beta_width,low-beta_asymmetry,low-beta_cv,low-beta_total_power,low-beta_absolute_band_power,low-beta_mean_band_power,low-beta_relative_band_power,low-beta_shannon_entropy,low-beta_katz_fd,low-beta_sample_entropy,low-beta_approximate_entropy,low-beta_hjorth
Fp1,1.027904557164366e-07,1.5061397693791544e-06,2.268457004905492e-12,0.016,4.604139491452164e-06,-2.7287974540535514e-06,7.332936945505715e-06,0.5219758569373613,14.652525459504472,2.279022882691885e-09,2.2790228826918856e-06,2.2790228826918855e-09,1000.0000000000002,-inf,4.983100954637896,0.4044656137991712,-497.5,0.04547954579046654,8.826476303022975e-08,1.7760589192411433e-06,3.154385284616018e-12,0.025,4.645245650293526e-06,-3.554769158439319e-06,8.200014808732846e-06,0.23721940628441285,20.12194740309745,3.162175953008801e-09,3.1621759530088014e-06,3.1621759530088015e-09,1000.0000000000001,-inf,5.955020395352547,0.4044656137991712,-497.5,0.08880564268815946,-4.6595073492918305e-08,8.16131295013419e-06,6.660702907002804e-11,0.047,2.3608689302674125e-05,-2.4509653983589456e-05,4.811834328626358e-05,0.0073732024010119915,-175.15398814371602,6.660920017090184e-08,6.660920017090183e-05,6.660920017090182e-08,999.9999999999999,-inf,5.053807968647483,0.4044656137991712,-497.5,0.1444043623211364,2.821790649662808e-08,4.7193684417631964e-06,2.2272438489110384e-11,0.05,1.2518708532880051e-05,-1.225284197923108e-05,2.477155051211113e-05,-0.02475935118534775,167.2472917977505,2.2273234739357433e-08,2.227323473935743e-05,2.227323473935743e-08,999.9999999999999,-inf,5.737427563362433,0.4044656137991712,-497.5,0.1590417089236127
Fp2,3.4744766216265745e-08,2.43311112293623e-06,5.920029736556002e-12,0.014,6.4161980279397655e-06,-6.776239289638595e-06,1.3192437317578362e-05,-0.1444536421431703,70.02813338249403,5.921236935335425e-09,5.921236935335426e-06,5.921236935335426e-09,1000.0000000000001,-inf,5.197159413773033,0.4044656137991712,-497.5,0.04499922855586934,1.8465808548461696e-07,2.479867181825896e-06,6.149741239497112e-12,0.024,5.771875046347037e-06,-5.642349198967234e-06,1.1414224245314271e-05,0.02179409580757499,13.429507705106596,6.183839848031956e-09,6.1838398480319565e-06,6.1838398480319566e-09,1000.0000000000001,-inf,6.634287324989587,0.4044656137991712,-497.5,0.08785796189423589,-6.641089184870095e-08,8.696337873827847e-06,7.562629241577262e-11,0.047,2.6961200687823942e-05,-2.7702136582924766e-05,5.466333727074871e-05,0.009223502244584035,-130.947464064179,7.563070282232874e-08,7.563070282232874e-05,7.563070282232874e-08,1000.0,-inf,4.773863106399181,0.4044656137991712,-497.5,0.1445073301325868,1.4502462758429211e-08,5.090718803428905e-06,2.5915417935584626e-11,0.05,1.3794201369058127e-05,-1.3214892042934854e-05,2.7009093411992983e-05,-0.012439903083932596,351.0244355201013,2.5915628257010687e-08,2.591562825701069e-05,2.591562825701069e-08,1000.0000000000001,-inf,5.610492371441223,0.4044656137991712,-497.5,0.16021956101149934
F3,8.489394024175841e-08,1.6217114432436816e-06,2.6299480051475047e-12,0.015,3.24948832895351e-06,-3.0025371566192075e-06,6.2520254855727176e-06,-0.05389811747645071,19.102793893479564,2.637154986237276e-09,2.637154986237276e-06,2.637154986237276e-09,1000.0,-inf,8.124282115280423,0.4044656137991712,-497.5,0.05101710661468989,4.1389736132405296e-08,2.1606436540192445e-06,4.668380999653633e-12,0.023,4.918435618722714e-06,-4.480800421364499e-06,9.399236040087213e-06,0.027150411798655547,52.202402235843444,4.670094109910743e-09,4.6700941099107435e-06,4.670094109910744e-09,1000.0000000000001,-inf,7.0722647191526775,0.4044656137991712,-497.5,0.0898587667151749,-8.691118932674367e-09,8.021212373599069e-06,6.433984794237882e-11,0.045,2.089974149766415e-05,-2.126729222413556e-05,4.216703372179971e-05,0.002876643928256019,-922.920562442567,6.433992347792713e-08,6.433992347792713e-05,6.433992347792712e-08,999.9999999999999,-inf,5.7807639452440185,0.4044656137991712,-497.5,0.14534723435956295,4.7205338630083385e-08,4.937930427162663e-06,2.438315690349884e-11,0.051,1.3545480533679757e-05,-1.306608957522867e-05,2.6611570108908426e-05,-0.03016343370443512,104.60533851600802,2.438538524749402e-08,2.438538524749403e-05,2.438538524749403e-08,1000.0000000000003,-inf,5.574266520474235,0.4044656137991712,-497.5,0.16403920348998663
F4,-4.367512959580481e-08,1.7784458420973377e-06,3.162869613273309e-12,0.016,4.259306273337136e-06,-4.957052667938957e-06,9.216358941276093e-06,-0.36121620179987657,-40.71987555746521,3.1647771302185185e-09,3.1647771302185197e-06,3.1647771302185198e-09,1000.0000000000003,-inf,5.30797468409001,0.4044656137991712,-497.5,0.051541068065453964,4.816240445616442e-08,2.320632150532128e-06,5.385333578083368e-12,0.022,6.217957144831938e-06,-5.5596602862782855e-06,1.1777617431110223e-05,0.07465056853917076,48.18347789600659,5.387653195286366e-09,5.387653195286367e-06,5.387653195286367e-09,1000.0000000000002,-inf,5.841702404479057,0.4044656137991712,-497.5,0.0867828087239379,2.2321617695890047e-09,8.240574912894454e-06,6.790707489502544e-11,0.046,2.4546929737269105e-05,-2.5267599041458847e-05,4.981452877872795e-05,5.39023527576957e-05,3691.746281637887,6.79070798775716e-08,6.790707987757161e-05,6.79070798775716e-08,1000.0000000000001,-inf,5.009012002044162,0.4044656137991712,-497.5,0.14637886566773078,4.502967551431924e-08,5.265499638190051e-06,2.772548643977956e-11,0.051,1.42113046920487e-05,-1.3785517584684216e-05,2.7996822276732917e-05,-0.026125551204059346,116.93399026416802,2.7727514111456482e-08,2.7727514111456485e-05,2.7727514111456485e-08,1000.0000000000001,-inf,5.574494700921959,0.4044656137991712,-497.5,0.16286028113867787
F7,6.107567836296719e-08,3.7998762181737067e-06,1.443905927344211e-11,0.015,8.000009251306126e-06,-9.10952250470969e-06,1.7109531756015816e-05,0.02094698954647519,62.21586595553452,1.4442789511929605e-08,1.444278951192961e-05,1.444278951192961e-08,1000.0000000000003,-inf,6.451805981050819,0.4044656137991712,-497.5,0.04896597446504934,-1.276657477144458e-07,4.120361197157677e-06,1.697737639504265e-11,0.021,9.844274642105545e-06,-1.0115470127679825e-05,1.995974476978537e-05,0.07496910691854458,-32.274602005025066,1.6993674938182138e-08,1.6993674938182144e-05,1.6993674938182145e-08,1000.0000000000003,-inf,6.281664086878235,0.4044656137991712,-497.5,0.08037183272249447,-3.830827910066281e-08,7.189184163924501e-06,5.168436894282282e-11,0.047,1.6736227636220302e-05,-1.7998145420906382e-05,3.4734373057126684e-05,-0.00027554385777447905,-187.66659147056578,5.168583646707047e-08,5.168583646707047e-05,5.168583646707047e-08,1000.0,-inf,6.195232225062456,0.4044656137991712,-497.5,0.1416369061016601,2.8065415533678598e-08,3.950397967681245e-06,1.5605644103060114e-11,0.049,1.107946090471026e-05,-1.0069052138239796e-05,2.1148513042950057e-05,-0.012404738556284134,140.75679595553302,1.560643177060919e-08,1.5606431770609195e-05,1.5606431770609194e-08,1000.0000000000002,-inf,5.563220906824289,0.4044656137991712,-497.5,0.17577086726983945
F8,7.774105863184736e-08,2.974453381689627e-06,8.847372919844859e-12,0.012,7.402684565148083e-06,-6.0201337248415045e-06,1.3422818289989587e-05,0.19354740893862235,38.26103521146436,8.853416592042056e-09,8.853416592042057e-06,8.853416592042056e-09,1000.0,-inf,6.075119118969117,0.4044656137991712,-497.5,0.040737528457405955,1.2892844122524796e-07,2.4551972038369456e-06,6.027993309728756e-12,0.025,6.527796153197609e-06,-6.435711956022693e-06,1.2963508109220302e-05,-0.10214849813914734,19.043100036767886,6.0446158526855276e-09,6.0446158526855275e-06,6.0446158526855276e-09,1000.0,-inf,5.842611474891091,0.4044656137991712,-497.5,0.08585170200173867,-7.861619377020591e-08,7.109250385901555e-06,5.054144104944142e-11,0.046,2.1678051386639008e-05,-2.2007058916644165e-05,4.3685110303283176e-05,0.013838229590426666,-90.4298471467825,5.054762155536433e-08,5.054762155536432e-05,5.0547621555364324e-08,999.9999999999999,-inf,4.741227767371264,0.4044656137991712,-497.5,0.1442162214889505,1.0523343144807817e-09,4.2783660007448874e-06,1.8304415636329802e-11,0.051,1.1815297611361165e-05,-1.213478516282092e-05,2.3950082774182087e-05,-0.025257565539752506,4065.595830024624,1.830441674373731e-08,1.830441674373731e-05,1.8304416743737312e-08,1000.0000000000001,-inf,5.285428368449228,0.4044656137991712,-497.5,0.16860136233991205
Fz,-4.106405909766982e-08,1.7036038687686192e-06,2.902266141683407e-12,0.016,4.0921573961723056e-06,-4.664381885174045e-06,8.75653928134635e-06,-0.33782077322596643,-41.486494667189156,2.9039523986329844e-09,2.9039523986329843e-06,2.9039523986329844e-09,1000.0,-inf,5.544791859985865,0.4044656137991712,-497.5,0.05170080520051278,4.377049685963377e-08,2.2522008025882965e-06,5.072408455179367e-12,0.022,5.803734029354176e-06,-5.088648318402829e-06,1.0892382347757005e-05,0.08085312509073457,51.45476894655339,5.0743243115747065e-09,5.074324311574707e-06,5.074324311574707e-09,1000.0000000000001,-inf,6.04111288822999,0.4044656137991712,-497.5,0.08697397149023078,3.2346273934619744e-09,8.24284892300102e-06,6.794455836741906e-11,0.045,2.4525335108516494e-05,-2.514313128064859e-05,4.966846638916508e-05,4.42396220495399e-05,2548.3148197106,6.794456883023342e-08,6.794456883023343e-05,6.794456883023342e-08,1000.0000000000001,-inf,5.028148306728936,0.4044656137991712,-497.5,0.14634516589745813,4.653122612179618e-08,5.258076582297309e-06,2.7647369345303354e-11,0.05,1.408428645109301e-05,-1.3671370758677452e-05,2.7755657209770462e-05,-0.026709417429751418,113.00103222154979,2.764953450030776e-08,2.7649534500307762e-05,2.7649534500307762e-08,1000.0000000000001,-inf,5.596827568324855,0.4044656137991712,-497.5,0.16240395839528618
T7,4.0028831729273096e-07,2.9684795021319597e-06,8.811870554577608e-12,0.011,5.111433988196938e-06,-6.3597563452182685e-06,1.1471190333415206e-05,-0.4570938040977307,7.415853458348898,8.972101291538654e-09,8.972101291538655e-06,8.972101291538655e-09,1000.0000000000001,-inf,7.201315193060284,0.4044656137991712,-497.5,0.04169239807076252,-6.271995286838507e-08,3.5810272190301216e-06,1.2823755943434605e-11,0.029,7.220712650866295e-06,-9.229154726227186e-06,1.644986737709348e-05,-0.21278491809644978,-57.09550239211344,1.2827689735922417e-08,1.2827689735922417e-05,1.2827689735922417e-08,1000.0,-inf,6.039309472221963,0.4044656137991712,-497.5,0.08956635114287972,-9.803692830805336e-08,5.691598846030492e-06,3.239429742413562e-11,0.044,1.3860163611896024e-05,-1.391781167797373e-05,2.7777975289869754e-05,-0.003136811675707844,-58.05566274114842,3.24039086634477e-08,3.24039086634477e-05,3.24039086634477e-08,1000.0,-inf,6.381237367560744,0.4044656137991712,-497.5,0.1423788010504775,-4.165165289137204e-08,3.577969118317399e-06,1.2801863011632985e-11,0.055,1.0288021805472116e-05,-9.801517551570744e-06,2.008953935704286e-05,0.02097134015960457,-85.90221203582918,1.2803597871821567e-08,1.2803597871821569e-05,1.2803597871821569e-08,1000.0000000000001,-inf,5.338716278467151,0.4044656137991712,-497.5,0.1808693993338902
T8,1.257985627473065e-07,1.4461796328123063e-06,2.091435530361137e-12,0.016,3.44296192398159e-06,-3.898934742166665e-06,7.341896666148255e-06,-0.2472979847029073,11.495994876485748,2.1072608087504247e-09,2.107260808750425e-06,2.1072608087504247e-09,1000.0000000000001,-inf,5.581770462649068,0.4044656137991712,-497.5,0.05064662673108939,3.293856778175794e-08,1.850029093041741e-06,3.422607645100847e-12,0.023,4.996658221878317e-06,-4.107605128920154e-06,9.10426335079847e-06,-0.09621929527127124,56.16604538787279,3.4236925943483606e-09,3.42369259434836e-06,3.4236925943483602e-09,999.9999999999999,-inf,5.863564800636117,0.4044656137991712,-497.5,0.09076130469232856,9.169204806635575e-09,5.351815657834725e-06,2.8641930835444935e-11,0.046,1.4929945371159157e-05,-1.5168191936708624e-05,3.0098137307867782e-05,-0.006703298794567304,583.6728234014056,2.8642014909761716e-08,2.864201490976172e-05,2.864201490976172e-08,1000.0000000000001,-inf,5.2700393478284955,0.4044656137991712,-497.5,0.1454598766085656,-2.3086877377119917e-08,3.4948245277749023e-06,1.2213798479937068e-11,0.05,8.342203678080928e-06,-9.08974507204249e-06,1.7431948750123416e-05,0.017397379530197078,-151.37709923640097,1.2214331483844095e-08,1.2214331483844092e-05,1.2214331483844091e-08,999.9999999999998,-inf,5.958983620629715,0.4044656137991712,-497.5,0.16925153049548267
